totalPrice,Lng,Lat,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,fiveYearsProperty,subway
305.5,116.599448,40.048301,81.04,2,1,1,1,4,4.0,1995,3,2,0.0,1.0,0.0
237.5,116.473445,39.912729999999996,58.69,2,1,1,1,3,4.0,1995,3,2,0.0,1.0,1.0
638.0,116.263038,39.926362,97.49,2,1,1,1,3,1.0,2000,3,6,1.0,1.0,0.0
367.0,116.20302099999999,39.929598999999996,74.77,2,1,1,1,2,4.0,1995,3,6,1.0,1.0,0.0
822.0,116.471704,39.890452,129.08,2,2,1,2,0,3.0,2003,4,6,1.0,1.0,1.0
338.0,116.487181,39.933685,56.59,2,1,1,1,4,4.0,1982,4,2,0.0,0.0,1.0
215.0,116.413068,39.819779,84.94,3,1,1,1,0,4.0,1995,1,2,0.0,1.0,0.0
1068.0,116.389175,39.972756,87.5,2,1,1,1,2,1.0,1999,4,6,1.0,0.0,0.0
427.0,116.336949,39.894054,56.79,2,1,1,1,2,1.0,1988,4,6,1.0,1.0,1.0
320.0,116.39391,39.842515,89.2,2,1,1,1,1,3.0,2010,3,6,1.0,0.0,0.0
370.0,116.221549,39.905466,70.0,2,1,1,1,2,4.0,1997,3,2,0.0,1.0,0.0
420.0,116.393754,39.979561,53.53,2,1,1,1,1,4.0,1989,4,2,0.0,0.0,1.0
490.0,116.45113899999998,39.911445,76.1,2,1,1,1,0,4.0,2000,3,4,0.0,0.0,1.0
172.0,116.265774,40.170928,32.84,1,0,1,1,3,3.0,2010,3,6,1.0,1.0,0.0
470.0,116.42885600000001,39.931468,57.08,2,1,1,1,1,4.0,1985,4,6,0.0,1.0,1.0
490.0,116.32940500000001,39.846371000000005,95.74,2,2,1,1,2,4.0,2006,3,6,1.0,1.0,1.0
306.0,116.41206000000001,40.054743,64.23,2,1,1,1,1,4.0,1996,4,2,0.0,1.0,0.0
329.0,116.430722,39.860989000000004,111.0,2,1,1,1,2,1.0,2000,3,6,1.0,1.0,1.0
330.0,116.483653,39.889140000000005,46.74,1,0,1,1,2,3.0,2010,4,6,1.0,0.0,1.0
383.0,116.34786899999999,39.876814,60.64,1,1,1,1,1,1.0,2008,4,6,1.0,1.0,0.0
1000.0,116.447783,39.943870000000004,98.44,2,2,1,2,0,3.0,2003,4,6,1.0,1.0,0.0
440.0,116.35751299999998,40.0711,111.55,2,1,1,1,1,1.0,2003,4,6,1.0,1.0,1.0
275.0,116.651425,39.843737,70.0,2,2,1,1,1,4.0,2000,1,6,0.0,0.0,0.0
668.0,116.444313,39.862823999999996,122.44,3,2,1,2,0,1.0,2001,3,6,1.0,1.0,0.0
485.0,116.600168,39.937451,74.0,2,1,1,1,4,4.0,2009,4,6,1.0,1.0,1.0
800.0,116.600168,39.937451,197.75,3,2,1,3,3,3.0,2009,1,6,1.0,0.0,1.0
339.0,116.42257,39.981146,68.04,2,1,1,1,1,4.0,1991,4,2,0.0,1.0,1.0
477.0,116.5038376,39.9307251,80.92,1,0,1,1,2,4.0,2008,4,6,0.0,0.0,1.0
350.0,116.43777,39.986008,44.87,1,1,1,1,1,4.0,1989,4,2,0.0,0.0,1.0
350.0,116.29590900000001,40.047888,54.3,2,1,1,1,4,4.0,1992,3,2,0.0,1.0,0.0
262.0,116.451194,39.854478,83.82,2,1,1,1,2,1.0,2000,3,6,1.0,1.0,1.0
205.0,116.298445,39.838903,69.09,1,1,1,1,1,1.0,2008,3,6,1.0,0.0,1.0
265.0,116.610993,39.895821999999995,60.48,2,1,1,1,1,4.0,1996,4,4,0.0,1.0,0.0
325.0,116.49331699999999,39.929564,77.45,3,1,1,1,1,1.0,1997,3,6,1.0,0.0,1.0
177.0,116.45874199999999,39.886928999999995,39.53,1,1,1,1,1,4.0,1980,2,2,0.0,1.0,1.0
159.5,116.299198,39.838131,65.27,1,1,1,1,1,1.0,2005,4,6,1.0,1.0,1.0
349.0,116.50847900000001,39.771345000000004,78.6,2,1,1,1,0,4.0,2005,3,2,0.0,0.0,0.0
555.0,116.411805,39.9236,64.41,2,1,1,1,4,4.0,1989,4,2,0.0,0.0,1.0
780.0,116.50944799999999,39.874885,122.89,2,2,1,1,1,4.0,2006,4,6,1.0,0.0,1.0
730.0,116.382075,39.937605,67.8,3,1,1,1,2,4.0,1990,3,2,0.0,1.0,1.0
305.0,116.24700800000001,39.906426,67.65,1,1,1,1,1,3.0,2007,4,6,1.0,1.0,0.0
370.0,116.521774,39.94004,55.7,1,1,1,1,0,3.0,2007,1,6,1.0,0.0,0.0
427.0,116.432177,39.862394,66.16,1,1,1,1,0,3.0,2004,4,6,1.0,0.0,1.0
1100.0,116.375652,39.923863,76.15,2,1,1,1,1,3.0,2002,3,6,1.0,0.0,1.0
510.0,116.481385,39.874867,98.55,3,1,1,1,1,1.0,1996,4,6,1.0,1.0,1.0
666.0,116.43414399999999,39.892210999999996,65.19,2,1,1,1,1,4.0,1993,4,2,0.0,1.0,1.0
395.0,116.188426,39.935915,68.82,2,2,1,1,3,4.0,1999,4,2,0.0,1.0,1.0
298.0,116.23338100000001,39.896656,83.04,2,1,1,1,2,1.0,2004,3,6,1.0,1.0,0.0
298.0,116.612342,39.935122,89.0,2,2,1,1,1,1.0,2010,3,6,1.0,1.0,0.0
900.0,116.389228,39.988818,174.29,4,2,1,2,0,3.0,1993,3,6,1.0,0.0,1.0
488.0,116.441781,39.991956,78.32,1,1,1,1,1,4.0,2008,3,6,1.0,0.0,0.0
597.0,116.448876,39.901694,63.35,1,1,1,1,2,1.0,2004,1,6,1.0,0.0,1.0
75.6,116.66592299999999,40.186753,33.0,1,0,1,1,0,4.0,2014,1,6,1.0,0.0,0.0
655.0,116.32803500000001,40.078668,143.52,3,2,1,2,0,4.0,2003,4,6,1.0,0.0,1.0
